country_name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Albania,,,,,,,,,,40.6,,,45.5,55.8,56.5,56.6,54.4,50.9,51.1,,
Argentina,,,,,,,,,50.9,50.6,52.4,51.2,50.5,51.5,51.0,52.9,51.8,48.4,49.4,,
Armenia,,,,,,,,,,25.3,25.1,,,,,24.9,24.1,25.7,19.9,19.4,
Australia,,,,,64.4,,63.3,,59.3,,61.1,,60.0,,62.0,,61.3,,61.2,,
Austria,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,
Bangladesh,,,,,,,5.0,,,,,,,,,,2.6,2.3,1.6,1.6,1.6
Belgium,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,
Belize,,,,,,,,,,,,9.5,9.1,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,50.0,,,,,,,,
Botswana,,,,,,,,,,,,,,,,,36.1,36.0,37.9,33.8,34.5
Brazil,,,,,,,,,,58.8,,63.6,66.0,67.5,71.7,65.8,61.9,59.9,58.5,57.7,64.8
Bulgaria,,,,,,,,,,,,10.6,12.8,12.5,12.2,11.6,10.8,,,,
Cambodia,,,,,,,,,,,,,26.3,,,,,,,,1.3
Cameroon,,,,,,,,,,,,,,,,,16.5,,,,
Canada,32.3,32.3,32.2,32.2,31.7,32.0,31.7,31.6,31.2,31.5,31.4,31.0,31.3,31.1,30.4,30.6,30.3,30.4,30.1,30.2,31.3
Chile,,,,,,,,,,14.8,15.4,15.6,16.6,17.3,18.1,17.6,17.9,20.5,21.0,,
China,18.1,,,,,,16.1,,22.3,23.4,26.7,32.6,39.3,42.5,,,44.9,45.0,,,
Colombia,,,,,,,,,0.8,1.1,0.7,1.0,0.9,10.7,12.3,14.5,15.7,,,,
Costa Rica,,,,,,,,,,,,4.6,4.2,9.5,9.3,9.3,10.6,10.8,10.2,10.3,11.8
Croatia,,,,,,,,,,,,,,53.6,49.2,48.2,46.7,,,,
Cuba,,,,,,,,,81.4,,,,,,,,,,76.8,,
Cyprus,65.1,62.1,63.2,64.0,62.7,59.8,58.1,54.6,52.9,52.4,50.0,48.6,48.5,48.6,47.7,43.6,43.3,,,,
Czechia,33.2,26.6,29.6,31.9,37.5,35.2,34.3,33.8,35.3,35.0,33.1,34.0,33.9,33.6,31.6,31.6,30.3,30.9,31.5,32.1,
Denmark,85.0,,,,85.0,,84.0,81.0,,82.0,83.0,,,84.0,83.5,84.0,,,80.3,,
Dominican Republic,,,,,,,,,8.0,,,,,,,,,,,,
Egypt,,,,,,,,,3.5,,,,,,,,,,,,
El Salvador,,,,,,,,,,4.8,4.7,4.1,4.5,8.4,10.0,4.3,5.0,4.5,4.6,,
Estonia,,28.0,,28.0,28.0,,,25.0,,24.0,,22.9,23.0,,,18.6,14.4,14.7,15.0,,
Eswatini,,,,,,,,,,,,,,,,,28.4,,,,
Ethiopia,,,,,,,,,,,,,,9.8,,,1.2,1.1,1.1,1.0,
Finland,85.0,,91.0,91.0,91.0,87.7,87.7,,87.5,78.4,77.8,90.0,89.7,93.0,89.3,89.3,,88.8,89.2,,
France,,,,,96.1,,,,98.0,98.0,97.2,97.1,98.0,99.2,98.5,98.0,,,98.0,,
Georgia,,,,,,,,,,,,,,,,,,,,,14.4
Germany,67.8,68.8,67.8,67.6,65.3,63.7,62.1,60.6,60.5,61.7,59.8,58.9,58.3,57.6,57.8,56.8,56.4,54.5,54.3,51.8,
Ghana,,,,,,,,,51.0,48.5,44.5,37.5,34.1,31.8,29.6,28.8,41.1,39.1,38.0,37.1,38.4
Greece,,,,,,,82.2,82.9,83.9,83.8,65.1,61.2,51.6,42.3,15.0,16.7,17.8,18.7,25.8,,
Honduras,,,,,,,,5.6,,,3.1,3.2,2.9,2.2,3.5,2.5,1.9,,,,
Hungary,38.4,35.6,33.8,34.2,34.4,24.8,22.7,24.6,22.9,26.9,27.3,26.4,26.4,25.5,22.8,20.0,,,,17.8,
Iceland,87.0,,89.0,,,,,,88.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,
Indonesia,,,,15.0,,12.7,,,10.0,,,,,,,,,,,,
Ireland,44.2,44.2,,,,41.7,,,,40.5,,,,,33.5,,,,,,
Israel,,,,,,,,,,,,,26.1,,,,28.0,,,,
Italy,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,
Japan,21.1,,,,,19.0,18.0,17.8,17.6,17.9,18.4,19.0,17.9,17.7,17.6,17.5,17.3,17.1,16.9,16.8,
Kazakhstan,,,,,,,,,,61.2,64.9,65.5,74.7,,,,,,,,
Kenya,,,,,,,,,,,,,,,,,,,,9.7,
"Korea, Republic of",13.3,13.4,12.7,12.6,12.9,12.4,12.5,13.1,12.7,12.4,12.0,12.2,12.4,12.6,12.6,12.5,12.5,13.1,14.5,15.6,
Latvia,,,18.0,,,15.0,,21.5,,20.7,20.4,19.8,19.4,19.0,15.3,18.7,18.7,20.5,17.3,27.3,
Lithuania,,,15.0,15.0,,,10.7,10.2,9.7,10.9,11.1,10.7,9.0,8.4,8.1,7.9,7.7,7.7,7.1,7.4,
Luxembourg,60.0,59.0,58.0,58.0,58.0,58.0,58.0,58.0,59.0,,,54.2,,,55.0,,,,,,
Malawi,,,,,,,20.8,,,,,,,18.1,,,,,,,
Malaysia,,,,,,,,,2.4,,,1.6,1.1,1.4,1.4,1.2,1.3,0.6,0.4,,
Malta,,,50.0,,,,45.0,,,,37.9,,41.8,,,,,,,,
Mauritius,,,,,,,,,,,,,,,,,,45.0,40.0,,
Mexico,,,,,,,,,10.1,9.2,10.2,9.8,11.0,10.1,10.0,9.8,9.9,10.0,10.0,10.4,
"Moldova, Republic of",,,,,,,,,,,,,,,,42.3,43.0,39.4,39.1,42.5,43.0
Montenegro,,,,,,,,,75.0,,,,,,,,,,,,
Morocco,,,,,,,,,,,,,,,,,2.8,3.1,3.0,2.9,3.0
Namibia,,,,,,,,,,,,,,,,,39.1,38.3,38.7,40.2,40.9
Netherlands,81.7,85.9,92.7,80.4,84.9,86.8,66.8,79.1,78.6,86.3,90.6,87.2,85.1,85.7,85.9,79.4,79.3,77.1,76.7,75.6,
New Zealand,20.0,20.0,19.0,18.0,,,,17.8,,,15.6,15.3,,,,,15.9,18.3,19.2,18.4,18.6
Nicaragua,,,,,,,,,,7.0,9.0,,9.6,7.6,,,,,,,6.7
Niger,,,,,,,,,17.5,,,,,,,,,,,,
North Macedonia,,,,,,,,,,,,49.0,51.0,49.0,,,,,,,
Norway,,,70.5,,,,70.0,,,68.0,,,,68.0,67.0,,70.0,69.0,,,
Panama,,,,,,,,,,,1.1,1.7,1.2,1.3,4.2,1.3,1.0,2.0,,,
Paraguay,,,,,,,,,,,,0.8,0.7,0.7,0.7,0.7,0.7,,,,
Peru,,,,,,,,,,1.8,1.8,2.0,2.1,2.5,2.6,2.5,2.2,,2.4,,2.6
Philippines,3.5,,,,,3.5,1.5,1.4,,1.2,,,1.8,,1.6,,1.2,,1.4,,
Poland,25.0,,,,,,,18.9,18.7,,18.6,18.1,17.7,,,17.2,,,,,
Portugal,78.6,74.5,72.9,80.2,79.8,83.2,80.4,85.9,86.1,84.7,77.7,78.1,75.4,76.3,74.0,73.6,74.1,73.1,76.5,,
Romania,,,,,,85.0,85.0,98.0,98.0,98.0,97.1,,,35.0,,,,15.0,,,
Russian Federation,,,,,,,,28.3,26.3,26.4,25.3,23.9,23.5,22.8,,,28.9,29.6,28.1,28.5,
Rwanda,,,,,,,,,,,,,,,,,,5.2,4.9,5.7,
Saint Vincent and the Grenadines,,,,,,,,,,14.0,,,,,,,,,,,
Senegal,,,,,,,,,14.0,14.0,14.3,14.3,14.5,14.9,16.3,,11.3,10.7,10.2,10.1,
Serbia,,,,,,,,,,,55.0,,,,,,,,,,
Sierra Leone,,,,,,,,,41.0,,,,,,,,,,,,
Singapore,,,,,,,,,,,,,18.1,,,,,,,,
Slovakia,51.0,48.0,48.0,,40.0,,40.0,40.0,40.0,40.0,,35.0,,30.0,,24.4,25.8,25.1,21.0,22.4,
Slovenia,,,,,,,,,,,,,,65.3,69.2,67.5,70.9,,,,
South Africa,,,,,,,,,,,32.9,31.8,32.7,30.7,30.8,29.1,29.9,30.0,30.1,30.1,
Spain,82.9,81.5,79.0,77.7,76.1,76.0,75.4,76.0,78.9,80.9,79.4,79.8,80.1,84.6,83.4,79.6,80.8,78.9,80.1,,
Sri Lanka,,,,,,,,,,5.6,5.6,5.7,5.5,5.9,5.4,5.9,4.8,3.9,3.6,3.2,
Sweden,94.0,,94.0,,,94.0,,91.0,,,89.0,88.0,90.0,89.0,90.0,90.0,90.0,89.0,90.0,90.0,
Switzerland,,39.9,,41.7,,44.6,,44.7,,44.7,,,47.4,,47.2,,48.0,,47.7,,
Thailand,,,,,,,,,1.4,2.1,1.7,1.8,2.0,2.3,2.6,2.7,3.1,2.4,2.2,2.4,1.1
Togo,,,,,,,,,,,,,,,,,28.7,24.2,23.8,23.8,
Trinidad and Tobago,,,,,,,,,,,,,,,,,19.957,19.47,,19.39,19.873
