,DATAFLOW,REF_AREA,FREQ,MEASURE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MEASURE_TYPE,UNIT_MEASURE,UNIT_MULT,SOURCE,NOTE_SOURCE,NOTE_INDICATOR,NOTE_CLASSIF,DECIMALS,UPPER_BOUND,LOWER_BOUND,country_name
0,ILO:DF_ILR_CBCT_NOC_RT(1.0),ALB,A,ILR_CBCT_RT,2018,51.1,,RT,PT,0,ADM - Administrative records and related sources,Reference group coverage: Employees,,,1,,,Albania
1,ILO:DF_ILR_CBCT_NOC_RT(1.0),ARG,A,ILR_CBCT_RT,2018,49.4,,RT,PT,0,"ADM - Estimaciones basadas en Registros del Ministerio de Trabajo, Empleo y Seguridad Social",Reference group coverage: Employees,,,1,,,Argentina
2,ILO:DF_ILR_CBCT_NOC_RT(1.0),ARM,A,ILR_CBCT_RT,2019,19.4,,RT,PT,0,ADM-RWO - Records from branch republican Unions,Reference group coverage: Employees,,,1,,,Armenia
3,ILO:DF_ILR_CBCT_NOC_RT(1.0),AUS,A,ILR_CBCT_RT,2018,61.2,,RT,PT,0,ES - Survey of Employee Earnings,Reference group coverage: Employees,Collective bargaining coverage : Adjusted for the right to collective bargaining,,1,,,Australia
4,ILO:DF_ILR_CBCT_NOC_RT(1.0),AUT,A,ILR_CBCT_RT,2019,98.0,,RT,PT,0,OS - Estimations based on Records from the Economic Chambers,Institutional sector coverage: Private sector only | Reference group coverage: Employees,Collective bargaining coverage : Adjusted for the right to collective bargaining,,1,,,Austria
5,ILO:DF_ILR_CBCT_NOC_RT(1.0),BEL,A,ILR_CBCT_RT,2019,96.0,,RT,PT,0,ADM - Records from the National Labour Council,Reference group coverage: Employees,,,1,,,Belgium
6,ILO:DF_ILR_CBCT_NOC_RT(1.0),BGD,A,ILR_CBCT_RT,2020,1.6,,RT,PT,0,OS - Estimations based on administrative data,Reference group coverage: Employees,Collective bargaining coverage : Adjusted for the right to collective bargaining,,1,,,Bangladesh
7,ILO:DF_ILR_CBCT_NOC_RT(1.0),BGR,A,ILR_CBCT_RT,2016,10.8,,RT,PT,0,ADM-CA - NICA's registry of collective labour agreements,Reference group coverage: Employees,Collective bargaining coverage : Refers only to establishments submitting reports to NICA,,1,,,Bulgaria
8,ILO:DF_ILR_CBCT_NOC_RT(1.0),BIH,A,ILR_CBCT_RT,2012,50.0,,RT,PT,0,OS - Estimations based on Administrative data,Reference group coverage: Employees,,,1,,,Bosnia and Herzegovina
9,ILO:DF_ILR_CBCT_NOC_RT(1.0),BLZ,A,ILR_CBCT_RT,2012,9.1,,RT,PT,0,ADM - Trade unions records,Reference group coverage: Employees,,,1,,,Belize
10,ILO:DF_ILR_CBCT_NOC_RT(1.0),BRA,A,ILR_CBCT_RT,2020,64.8,,RT,PT,0,HS - Pesquisa Nacional por Amostra de Domicílios,"Reference group coverage: Employees, excluding domestic services",,,1,,,Brazil
11,ILO:DF_ILR_CBCT_NOC_RT(1.0),BWA,A,ILR_CBCT_RT,2020,34.5,,RT,PT,0,OS - Estimations based on administrative data,Reference group coverage: Employees,,,1,,,Botswana
12,ILO:DF_ILR_CBCT_NOC_RT(1.0),CAN,A,ILR_CBCT_RT,2020,31.3,,RT,PT,0,LFS - Labour Force Survey,Reference group coverage: Employees,,,1,,,Canada
13,ILO:DF_ILR_CBCT_NOC_RT(1.0),CHE,A,ILR_CBCT_RT,2018,47.7,,RT,PT,0,OS - Estimations based on Administrative data,Reference group coverage: Employees,,,1,,,Switzerland
14,ILO:DF_ILR_CBCT_NOC_RT(1.0),CHL,A,ILR_CBCT_RT,2018,21.0,,RT,PT,0,ADM - Registros Administrativos de la Dirección del Trabajo,Data reference period: End of the year | Institutional sector coverage: Private sector only | Reference group coverage: Employees,,,1,,,Chile
15,ILO:DF_ILR_CBCT_NOC_RT(1.0),CHN,A,ILR_CBCT_RT,2017,45.0,,RT,PT,0,ADM-RWO - Records of Workers' Organizations,Reference group coverage: Employees,Collective bargaining coverage : Not adjusted for the right to collective bargaining | Collective bargaining coverage : Workers covered by collective contracts. The law mandates the official union to represent workers' interests in a process of collective consultation with employers over wages and other concerns of conditions of work. The legal provisions for collective consultation do not provide for workers or employers to carry out protected industrial action.,,1,,,China
16,ILO:DF_ILR_CBCT_NOC_RT(1.0),CMR,A,ILR_CBCT_RT,2016,16.5,,RT,PT,0,OS - Estimations based on administrative data,Reference group coverage: Employees,,,1,,,Cameroon
17,ILO:DF_ILR_CBCT_NOC_RT(1.0),COL,A,ILR_CBCT_RT,2016,15.7,,RT,PT,0,OE - Estimates based on various Administrative Records,Reference group coverage: Employees,,,1,,,Colombia
18,ILO:DF_ILR_CBCT_NOC_RT(1.0),CRI,A,ILR_CBCT_RT,2020,11.8,,RT,PT,0,ADM - Administrative Records of the Ministry of Labour and Social Security,Reference group coverage: Employees,,,1,,,Costa Rica
19,ILO:DF_ILR_CBCT_NOC_RT(1.0),CUB,A,ILR_CBCT_RT,2018,76.8,,RT,PT,0,ADM-RWO - Registros de la Central de Trabajadores de Cuba,Reference group coverage: Employees,,,1,,,Cuba
20,ILO:DF_ILR_CBCT_NOC_RT(1.0),CYP,A,ILR_CBCT_RT,2016,43.3,,RT,PT,0,OS - Estimates based on legislation,Reference group coverage: Employees,,,1,,,Cyprus
21,ILO:DF_ILR_CBCT_NOC_RT(1.0),CZE,A,ILR_CBCT_RT,2019,32.1,,RT,PT,0,"ADM-CA - Collective agreements by ČMKOS, enterprise and higher-order agreements",Reference group coverage: Employees,Collective bargaining coverage : Adjusted for the right to collective bargaining,,1,,,Czechia
22,ILO:DF_ILR_CBCT_NOC_RT(1.0),DEU,A,ILR_CBCT_RT,2019,51.8,,RT,PT,0,ES - Establishment Survey,Reference group coverage: Employees,,,1,,,Germany
23,ILO:DF_ILR_CBCT_NOC_RT(1.0),DNK,A,ILR_CBCT_RT,2018,80.3,,RT,PT,0,ADM-REO - Records of Workers' Organizations,Reference group coverage: Employees,,,1,,,Denmark
24,ILO:DF_ILR_CBCT_NOC_RT(1.0),ESP,A,ILR_CBCT_RT,2018,80.1,,RT,PT,0,ADM-CA - Convenios Colectivos de Trabajo,Reference group coverage: Employees,,,1,,,Spain
25,ILO:DF_ILR_CBCT_NOC_RT(1.0),EST,A,ILR_CBCT_RT,2018,15.0,,RT,PT,0,OS - Estimations based on Working Life Survey and Administrative data for small firms,Reference group coverage: Employees,,,1,,,Estonia
26,ILO:DF_ILR_CBCT_NOC_RT(1.0),ETH,A,ILR_CBCT_RT,2019,1.0,,RT,PT,0,ADM - Administrative records and related sources,Reference group coverage: Employees,,,1,,,Ethiopia
27,ILO:DF_ILR_CBCT_NOC_RT(1.0),FIN,A,ILR_CBCT_RT,2018,89.2,,RT,PT,0,ADM - Records of the Ministry of Social Affairs and Health,Reference group coverage: Employees,,,1,,,Finland
28,ILO:DF_ILR_CBCT_NOC_RT(1.0),FRA,A,ILR_CBCT_RT,2018,98.0,,RT,PT,0,"ADM - Fichiers de la Direction de l'animation de la recherche, des études et des statistiques",Reference group coverage: Employees,,,1,,,France
29,ILO:DF_ILR_CBCT_NOC_RT(1.0),GBR,A,ILR_CBCT_RT,2019,26.9,,RT,PT,0,LFS - Labour Force Survey,Reference group coverage: Employees,Collective bargaining coverage : Adjusted for the right to collective bargaining,,1,,,United Kingdom
30,ILO:DF_ILR_CBCT_NOC_RT(1.0),GEO,A,ILR_CBCT_RT,2020,14.4,,RT,PT,0,ADM-RWO - Trade unions records,Reference group coverage: Employees,,,1,,,Georgia
