country_name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,,,,,,,,,,,,,9.36,,,,,,,16.77,
Albania,,,,,,,,,52.41,49.5,,49.9,48.2,48.7,,,,36.85,,,
Argentina,43.84,42.0,,,,37.0,,,30.7,31.9,30.1,31.8,30.0,30.4,27.7,,,,,,
Armenia,,,,,,,,,,38.35,35.8,36.6,35.2,33.9,23.78,24.8,23.19,22.68,23.4,20.55,
Australia,26.48,26.2,24.7,24.71,24.05,24.01,21.8,19.95,19.99,20.92,19.69,19.72,19.57,18.22,16.35,16.63,14.56,,13.66,,
Austria,37.35,36.64,36.56,35.09,35.53,33.77,31.54,30.39,29.59,29.32,28.86,28.31,27.96,27.76,27.72,27.35,26.9,26.65,26.3,26.24,
Bangladesh,26.33,,,,,,14.13,,12.57,,11.29,,10.07,,,,,,11.9,,
Belgium,56.41,57.84,57.12,55.76,55.06,54.91,53.73,53.55,53.38,53.81,52.7,54.04,53.75,53.03,52.72,52.27,51.58,50.72,49.96,49.08,
Belize,5.83,,,,,,,,,,,9.52,9.09,,,,,,,7.43,
Bermuda,24.6,,,,,,21.75,22.32,23.02,24.22,23.29,23.55,24.66,,,,,,21.9,,
"Bolivia, Plurinational State of",23.92,,,,,,26.11,,,,,22.42,18.71,19.07,14.97,11.41,13.33,11.32,11.83,12.05,
Bosnia and Herzegovina,,,,,,,,,,,,,30.0,,,,,,,,
Botswana,13.35,,,,,,,,,17.72,,,,,,,29.0,28.06,29.11,29.36,29.96
Brazil,20.07,18.45,18.55,19.36,19.65,20.0,20.12,18.81,19.4,19.3,,18.48,17.72,17.84,17.78,17.92,16.9,16.81,14.58,13.03,
Bulgaria,,,,,,,,,,,,13.9,11.4,14.0,13.9,13.6,13.7,,,,
Burkina Faso,,,,,,,,,,,,,,,7.8,,,,9.81,,
Burundi,,,,,,,,,,,,,,,5.61,,,,,,
Cabo Verde,,,,,,,,,,,,,,,,20.9,,,,,
Cambodia,,15.78,,,,,,,,,,,9.63,,,,,,,,
Cameroon,,,,,,,,,,,5.41,,,,5.02,,,,,,
Canada,30.1,30.16,30.05,30.09,29.76,29.78,29.39,29.34,29.09,29.39,29.34,28.98,29.28,29.19,28.41,28.59,28.39,28.44,28.09,28.29,29.39
Central African Republic,,,,,,,,,21.93,,,,,,,,,,,,
Chile,11.18,10.9,11.13,11.69,11.5,11.12,11.25,11.49,12.85,13.67,14.01,13.88,14.38,14.19,14.66,15.4,16.92,17.38,17.09,,
China,,,,,,,,,30.4,32.69,34.73,37.8,41.16,42.56,43.22,43.86,44.56,44.25,,,
Colombia,,,,,,,,,3.82,3.38,3.56,3.67,4.27,6.52,5.74,5.41,5.25,4.77,4.7,4.65,
Comoros,,,,,,,,,,,,,,,13.35,,,,,,
"Congo, The Democratic Republic of the",,,,,,,,,,,,,13.56,,,,,,,,
Costa Rica,16.23,13.62,14.38,14.45,13.87,13.16,12.74,11.36,11.81,12.57,12.83,13.37,13.14,13.72,12.37,18.58,19.34,19.33,19.45,20.54,
Croatia,37.25,,,,38.03,,,,31.22,30.49,,,27.14,29.53,26.46,24.01,,21.99,20.76,,
